"","town","Starbucks","pop2013","percapita"
"1","ANSONIA",1,19163,0.05
"2","AVON",1,18205,0.05
"3","BETHEL",1,18887,0.05
"4","BLOOMFIELD",1,20562,0.05
"5","BRANFORD",2,28025,0.07
"6","BRISTOL",1,60536,0.02
"7","COLCHESTER",1,16119,0.06
"8","DANBURY",3,81967,0.04
"9","DARIEN",1,20925,0.05
"10","DERBY",1,12841,0.08
"11","EAST LYME",1,19119,0.05
"12","ENFIELD",1,44699,0.02
"13","FAIRFIELD",4,60126,0.07
"14","FARMINGTON",2,25429,0.08
"15","GLASTONBURY",3,34551,0.09
"16","GRANBY",1,11284,0.09
"17","GREENWICH",4,61733,0.06
"18","GROTON",3,40126,0.07
"19","HAMDEN",1,61468,0.02
"20","HARTFORD",2,125130,0.02
"21","KILLINGLY",1,17317,0.06
"22","LISBON",1,4334,0.23
"23","MADISON",1,18289,0.05
"24","MANCHESTER",3,58196,0.05
"25","MANSFIELD",1,26379,0.04
"26","MERIDEN",1,60691,0.02
"27","MILFORD",2,52894,0.04
"28","MONROE",1,19631,0.05
"29","MONTVILLE",2,19621,0.1
"30","NEW CANAAN",1,19938,0.05
"31","NEW FAIRFIELD",1,14010,0.07
"32","NEW HAVEN",2,130338,0.02
"33","NEW LONDON",1,27588,0.04
"34","NEW MILFORD",1,27983,0.04
"35","NEWINGTON",1,30606,0.03
"36","NEWTOWN",1,27772,0.04
"37","NORTH HAVEN",2,24011,0.08
"38","NORWALK",2,86499,0.02
"39","OLD SAYBROOK",1,10258,0.1
"40","ORANGE",2,13934,0.14
"41","PLAINVILLE",1,17767,0.06
"42","RIDGEFIELD",1,24831,0.04
"43","ROCKY HILL",1,19743,0.05
"44","SEYMOUR",1,16535,0.06
"45","SHELTON",1,40006,0.02
"46","SIMSBURY",1,23591,0.04
"47","SOUTHBURY",1,19864,0.05
"48","SOUTHINGTON",2,43288,0.05
"49","STAMFORD",6,123995,0.05
"50","STRATFORD",1,51694,0.02
"51","TORRINGTON",1,36061,0.03
"52","TRUMBULL",3,36251,0.08
"53","WATERBURY",1,110052,0.01
"54","WATERTOWN",1,22387,0.04
"55","WEST HARTFORD",3,63340,0.05
"56","WEST HAVEN",2,55349,0.04
"57","WESTPORT",3,26769,0.11
"58","WETHERSFIELD",1,26590,0.04
"59","WILTON",1,18353,0.05
"60","WINDSOR",1,29100,0.03
"61","WOODBRIDGE",1,8981,0.11
